sttdis,grpcomb,node001,node002,node003,node004,node005,node006,node007,node008,node009,node010,node011,node012,node013,node014,node015,node016,node017,node018,node019,node020,node021,node022,node023,node024,node025,node026,node027
A12.0,' 'A12.0' ' ' 'G9.10' ' ' 'K2.0' ' ' 'N4.1' ' ' 'P5.0' ' ' 'M6.27' ' ' 'S2.14' ' ' 'A7.0' ' ' 'J1.0' ' ' 'O1.4' ' ' 'S14.0' ' ' 'V2.23' ' ' 'K9.4' ','A12.0','A12.0' 'G9.10','A12.0' 'G9.10' 'K2.0','A12.0' 'G9.10' 'K2.0' 'N4.1','A12.0' 'G9.10' 'K2.0' 'N4.1' 'P5.0','A12.0' 'G9.10' 'K2.0' 'N4.1' 'P5.0' 'M6.27','A12.0' 'G9.10' 'K2.0' 'N4.1' 'P5.0' 'M6.27' 'S2.14','A12.0' 'G9.10' 'K2.0' 'N4.1' 'P5.0' 'M6.27' 'S2.14' 'A7.0','A12.0' 'G9.10' 'K2.0' 'N4.1' 'P5.0' 'M6.27' 'S2.14' 'A7.0' 'J1.0','A12.0' 'G9.10' 'K2.0' 'N4.1' 'P5.0' 'M6.27' 'S2.14' 'A7.0' 'J1.0' 'O1.4','A12.0' 'G9.10' 'K2.0' 'N4.1' 'P5.0' 'M6.27' 'S2.14' 'A7.0' 'J1.0' 'O1.4' 'S14.0','A12.0' 'G9.10' 'K2.0' 'N4.1' 'P5.0' 'M6.27' 'S2.14' 'A7.0' 'J1.0' 'O1.4' 'S14.0' 'V2.23','A12.0' 'G9.10' 'K2.0' 'N4.1' 'P5.0' 'M6.27' 'S2.14' 'A7.0' 'J1.0' 'O1.4' 'S14.0' 'V2.23' 'K9.4', , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'M10.0' ','A12.0','A12.0' 'M10.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'M10.1' ','A12.0','A12.0' 'M10.1', , , , , , , , , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'M10.1' ' ' 'M10.0' ' ' 'S16.1' ' ' 'B3.0' ','A12.0','A12.0' 'M10.1','A12.0' 'M10.1' 'M10.0','A12.0' 'M10.1' 'M10.0' 'S16.1','A12.0' 'M10.1' 'M10.0' 'S16.1' 'B3.0', , , , , , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'M10.1' ' ' 'N4.12' ' ' 'M10.2' ','A12.0','A12.0' 'M10.1','A12.0' 'M10.1' 'N4.12','A12.0' 'M10.1' 'N4.12' 'M10.2', , , , , , , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'M18.11.2' ' ' 'M2.0' ','A12.0','A12.0' 'M18.11.2','A12.0' 'M18.11.2' 'M2.0', , , , , , , , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'M2.0' ','A12.0','A12.0' 'M2.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'MS G1.0' ' ' 'S14.21' ' ' 'S16.20.0' ' ' 'V2.36' ','A12.0','A12.0' 'MS G1.0','A12.0' 'MS G1.0' 'S14.21','A12.0' 'MS G1.0' 'S14.21' 'S16.20.0','A12.0' 'MS G1.0' 'S14.21' 'S16.20.0' 'V2.36', , , , , , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'N4.0' ' ' 'N4.50.2.0' ' ' 'S14.21' ' ' 'S13.11' ' ' 'V2.23' ' ' 'MS G1.0' ' ' 'N4.50.2.1' ' ' 'V2.63' ','A12.0','A12.0' 'N4.0','A12.0' 'N4.0' 'N4.50.2.0','A12.0' 'N4.0' 'N4.50.2.0' 'S14.21','A12.0' 'N4.0' 'N4.50.2.0' 'S14.21' 'S13.11','A12.0' 'N4.0' 'N4.50.2.0' 'S14.21' 'S13.11' 'V2.23','A12.0' 'N4.0' 'N4.50.2.0' 'S14.21' 'S13.11' 'V2.23' 'MS G1.0','A12.0' 'N4.0' 'N4.50.2.0' 'S14.21' 'S13.11' 'V2.23' 'MS G1.0' 'N4.50.2.1','A12.0' 'N4.0' 'N4.50.2.0' 'S14.21' 'S13.11' 'V2.23' 'MS G1.0' 'N4.50.2.1' 'V2.63', , , , , , , , , , , , , , , , , , 
A12.0,' 'A12.0' ' ' 'P2.0' ' ' 'V2.47' ' ' 'V2.77' ','A12.0','A12.0' 'P2.0','A12.0' 'P2.0' 'V2.47','A12.0' 'P2.0' 'V2.47' 'V2.77', , , , , , , , , , , , , , , , , , , , , , , 
